ID,Country,Latitude,Longitude,Page,Battle,Year,Participants,War,Winner,Loser,Theatre,Massacre,all_participants,nuclear_countries_involved,active_nuclear_countries_during_conflict
Almanza1707,SPAIN,38.874444,-1.093694,37,ALMANZA,1707.0,"['Portuguese', 'Dutch', 'Spain', 'Austria', 'Valencia', 'Berwick', 'Portuguese', 'Alcantara', 'French', 'Spain']",['Y WAR OF THE SPANISH                '],"FRANCE, SPAIN","UNITED KINGDOM, PORTUGAL, NETHERLANDS",LAND,NO,"[""['Portuguese'"", ""'Dutch'"", ""'Spain'"", ""'Austria'"", ""'Valencia'"", ""'Berwick'"", ""'Portuguese'"", ""'Alcantara'"", ""'French'"", ""'Spain']"", 'FRANCE', 'SPAIN', 'UNITED KINGDOM', 'PORTUGAL', 'NETHERLANDS']","france, united kingdom",None
Almaraz1812,SPAIN,39.814327,-5.6752957,37,ALMARAZ,1812.0,"['Wellington', 'Anglo', 'French']",NAPOLEONIC WARS (PENINSULA CAMPAIGN),"UNITED KINGDOM, PORTUGAL",FRANCE,LAND,NO,"[""['Wellington'"", ""'Anglo'"", ""'French']"", 'UNITED KINGDOM', 'PORTUGAL', 'FRANCE']","france, united kingdom",None
Almazan1810,SPAIN,41.5128836,-2.5594214,37,ALMAZAN,1810.0,"['Napoleonic', 'Spanish', 'French', 'Soria']",NAPOLEONIC WARS (PENINSULA CAMPAIGN),FRANCE,SPAIN,LAND,NO,"[""['Napoleonic'"", ""'Spanish'"", ""'French'"", ""'Soria']"", 'FRANCE', 'SPAIN']",france,None
Almeida1762,PORTUGAL,40.7254048,-6.9055942,37,ALMEIDA,1762.0,"['France', 'Spanish', 'Portugal']",SEVEN YEARS WAR,SPAIN,PORTUGAL,LAND,NO,"[""['France'"", ""'Spanish'"", ""'Portugal']"", 'SPAIN', 'PORTUGAL']",None,None
Almeida1810,PORTUGAL,40.7254048,-6.9055942,37,ALMEIDA,1810.0,"['Napoleonic', 'Portuguese', 'French', 'Massena', 'Almeida', 'Portuguese', 'Bussaco']",NAPOLEONIC WARS (PENINSULA CAMPAIGN),FRANCE,"PORTUGAL, UNITED KINGDOM",LAND,NO,"[""['Napoleonic'"", ""'Portuguese'"", ""'French'"", ""'Massena'"", ""'Almeida'"", ""'Portuguese'"", ""'Bussaco']"", 'FRANCE', 'PORTUGAL', 'UNITED KINGDOM']","france, united kingdom",None
Almeida1811,PORTUGAL,40.7254048,-6.9055942,37,ALMEIDA,1811.0,"['Napoleonic', 'Portuguese', 'Almeida', 'Portuguese', 'Wellington', 'French']",NAPOLEONIC WARS (PENINSULA CAMPAIGN),UNITED KINGDOM,FRANCE,LAND,NO,"[""['Napoleonic'"", ""'Portuguese'"", ""'Almeida'"", ""'Portuguese'"", ""'Wellington'"", ""'French']"", 'UNITED KINGDOM', 'FRANCE']","france, united kingdom",None
Almenar1082,SPAIN,41.7970523,0.5680948,37,ALMENAR,1082.0,"['Christian', 'Spain', 'Spain', 'Muslim', 'Aragon', 'Barcelona', 'Spanish', 'Bivar']",EARLY CHRISTIAN RECONQUEST OF SPAIN,SARAGOSSA,"LERIDA, ARAGON, BARCELONA",LAND,NO,"[""['Christian'"", ""'Spain'"", ""'Spain'"", ""'Muslim'"", ""'Aragon'"", ""'Barcelona'"", ""'Spanish'"", ""'Bivar']"", 'SARAGOSSA', 'LERIDA', 'ARAGON', 'BARCELONA']",None,None
Almenar1710,SPAIN,41.7970523,0.5680948,37,ALMENAR,1710.0,"['Austria', 'Spain', 'Austrian']",WAR OF THE SPANISH SUCCESSION,"AUSTRIA, UNITED KINGDOM","FRANCE, SPAIN",LAND,NO,"[""['Austria'"", ""'Spain'"", ""'Austrian']"", 'AUSTRIA', 'UNITED KINGDOM', 'FRANCE', 'SPAIN']","france, united kingdom",None
Almeria1309,SPAIN,36.834047,-2.4637136,38,ALMERIA,1309.0,"['Christian', 'Spain', 'Aragon', 'Almeria', 'Spain', 'Christians']",LATER CHRISTIAN RECONQUEST OF SPAIN,GRANADA,ARAGON,LAND,NO,"[""['Christian'"", ""'Spain'"", ""'Aragon'"", ""'Almeria'"", ""'Spain'"", ""'Christians']"", 'GRANADA', 'ARAGON']",None,None
Almeria1489,SPAIN,36.834047,-2.4637136,38,ALMERIA,1489.0,"['Christian', 'Spain', 'Almeria', 'Spain', 'Muslim']",LATER CHRISTIAN RECONQUEST OF SPAIN,CASTILLE,GRANADA,LAND,NO,"[""['Christian'"", ""'Spain'"", ""'Almeria'"", ""'Spain'"", ""'Muslim']"", 'CASTILLE', 'GRANADA']",None,None
Almodovar del Rio1091,SPAIN,40.3862211,-3.6054532,38,ALMODOVAR DEL RIO,1091.0,"['Christian', 'Spain', 'Zallaka', 'Spain', 'North Africa', 'Seville', 'Almodovar del Rio', 'Muslim']",EARLY CHRISTIAN RECONQUEST OF SPAIN,ALMORAVIDS,LEON AND CASTILLE,LAND,NO,"[""['Christian'"", ""'Spain'"", ""'Zallaka'"", ""'Spain'"", ""'North Africa'"", ""'Seville'"", ""'Almodovar del Rio'"", ""'Muslim']"", 'ALMORAVIDS', 'LEON AND CASTILLE']",None,None
Almolonga1823,GUATEMALA,14.8143789,-91.4942426,38,ALMOLONGA,1823.0,"['Mexican', 'Spanish', 'Mexico', 'Republicans']",MEXICAN CIVIL WARS,MEXICAN REPUBLICANS,MEXICAN IMPERIALISTS,LAND,NO,"[""['Mexican'"", ""'Spanish'"", ""'Mexico'"", ""'Republicans']"", 'MEXICAN REPUBLICANS', 'MEXICAN IMPERIALISTS']",None,None
Almonacid1809,SPAIN,39.753623,-3.8534422,38,ALMONACID,1809.0,"['Napoleonic', 'Portugal', 'Spain', 'French', 'Spanish', 'Toledo', 'Venegas']",NAPOLEONIC WARS (PENINSULA CAMPAIGN),FRANCE,SPAIN,LAND,NO,"[""['Napoleonic'"", ""'Portugal'"", ""'Spain'"", ""'French'"", ""'Spanish'"", ""'Toledo'"", ""'Venegas']"", 'FRANCE', 'SPAIN']",france,None
Almorah1815,INDIA,29.5892407,79.646666,38,ALMORAH,1815.0,"['British', 'Katalgarh', 'Britain', 'Kumaun', 'Gurkha', 'Sitoli', 'Nepal']",BRITISH GURKHA WAR,UNITED KINGDOM,GURKHAS,LAND,NO,"[""['British'"", ""'Katalgarh'"", ""'Britain'"", ""'Kumaun'"", ""'Gurkha'"", ""'Sitoli'"", ""'Nepal']"", 'UNITED KINGDOM', 'GURKHAS']",united kingdom,None
Alnwick1093,UNITED KINGDOM,55.412744,-1.706299,38,ALNWICK,1093.0,"['Anglo', 'Scotland', 'England']",ANGLO-SCOTTISH TERRITORIAL WARS,ENGLAND,SCOTLAND,LAND,NO,"[""['Anglo'"", ""'Scotland'"", ""'England']"", 'ENGLAND', 'SCOTLAND']",united kingdom,None
Alnwick1174,UNITED KINGDOM,55.412744,-1.706299,39,ALNWICK,1174.0,"['Scotland', 'Northumberland', 'Royalist', 'Scotland']",ANGLO-NORMAN REBELLION,ENGLAND,SCOTLAND,LAND,NO,"[""['Scotland'"", ""'Northumberland'"", ""'Royalist'"", ""'Scotland']"", 'ENGLAND', 'SCOTLAND']",united kingdom,None
